"Model #","Serial #","Inv Qty","Availability Status","Availability Message"
PFD87ESPVRS,TA248269,,Available,
PT7800SHSS,VA068056,,Available,
PDD415PYYFS,LA714464,,Available,
GWE22JYMFS,VZ396480,,Available,
CGS700P2MS1,MA928820,,Available,
GUD27ESSMWW,SA080252,,Available,
GUD24ESSMWW,TA039479,,Available,
GSS25GYPFS,VA455048,,Available,
CVE28DP2NS1,RA526182,,Reserved,"Not Available"
PSS93YPFS,LA043002,,Available,
PDD415PYYFS,LA715565,,Available,
GDT650SYVFS,ZA843504,,Available,
GTW585BSVWS,VA173679,,Available,
PTD7000SNSS,GA224990,,Available,
PTD60EBSRWS,VA566033,,Available,
GFW550SSNWW,TA320917,,Available,
VTD52EASRWB,VV557132,,Available,
GDT550PYRFS,SA873989,,Available,
JTD3000SNSS,VA025219,,Available,
JVW5361SJSS,TA821881,,Available,
GTD48EASWWB,ZA510156,,Available,
JVW5361SJSS,TA821880,,Available,
GNE27JYMFS,TA355767,,Reserved,"Not Available"
GTD48EASWWB,LA876294,,Available,
GFD65ESPVDS,ZA930849,,Available,
GDT550PGRWW,ZZ779295,,Available,
GDT650SYVFS,RA862708,,Available,
GDT550PYRFS,SA873990,,Available,
JGBS66REKSS,ZA400864,,Available,
JGBS66REKSS,VA406840,,Available,
GFD55ESPRRS,TA155297,,Reserved,"Not Available"
GFD55ESPRRS,TA155296,,Available,
GTD48GASWWB,VA509468,,Available,
GTW485ASWWB,VA144968,,Available,
GDT650SYVFS,SA871947,,Available,
GFW148SSMWW,SA347215,,Available,
GUD24ESSMWW,VA036983,,Available,
GTW385ASWWS,RA919782,,Reserved,"Not Available"
JGP5030SLSS,VA094007,,Available,
GNE27JYMFS,TA328117,,Available,
GTS22KYNRFS,VA759923,,Available,
JVM3160RFSS,FA217152,,Available,
GTD58EBPVDG,VA719993,,Available,
GSS25GYPFS,TA461606,,Available,
GFD35ESPYDS,VA176068,,Available,
GFD55GSPRRS,SA169140,,Available,
GNE27JYMFS,TA391842,,Available,
GTS22KGNRWW,ZA776655-AD1,,Available,
GYE22GYNFS,VA503242,,Available,
GTS18HGNRWW,TA812297,,Reserved,"Not Available"
PFW870SPVRS,ZZ310758,,Available,
CHS950P4MW2,VA376395,,Available,
PTS9000SNSS,TA123880,,Available,
PVD28BYNFS,TA531258,,Available,
GFW550SPRRS,DA307181,,Available,
GFW655SPVDS,SA323434,,Reserved,"Not Available"
GTD58GBPVDG,SA827348,,Available,
JGBS66REKSS,ZA406388,,Available,
JBS160DMWW,VA476494,,Available,
GTD38EASWWS,TA898163,,Reserved,"Not Available"
GFD55ESSNWW,TA247423,,Available,
PYE22KYNFS,GA501873,,Available,
JKS3000SNSS,VA157278,,Available,
PGE29BYTFS,RA151947,,Available,
GTD48EASWWB,VA511534,,Available,
GYE21JYMFS,VA382738,,Available,
GFD65ESPVDS,MA176405,,Reserved,"Not Available"
PTD70EBPTDG,LA550502,,Available,
FUF21DLRWW,RA046966,,Available,
PAE28BYTFS,MA148247,,Available,
GRF400SVWW,VA117217,,Available,
GDT550PYRFS,VA851358,,Available,
GDT670SYVFS,HA720682,,Available,
PTS9000SNSS,RA160656,,Available,
GDT550PYRFS,VA851356,,Available,
GFR0728PTDS,,1,Available,
GTD48EASWWB,VA509696,,Available,
PK7800SKSS,HA006940,,Available,
GFW655SPVDS,SA323420,,Available,
GDT650SYVFS,SA858974,,Available,
JBS86SPSS,MA059506,,Reserved,"Not Available"
JX7227DLBB,,1,Available,
JP3036DLBB,VA077764,,Available,
GTW485ASWWB,TA995798,,Available,
GDF535PSRSS,VA857039,,Available,
PAE28BYTFS,MA147122,,Available,
GYE21JYMFS,ZA382472,,Available,
GTW585BSVWS,VA984192,,Available,
FUF21DLRWW,RA046706,,Available,
GFQ14ESSNWW,RA327275,,Available,
GWE19JYLFS,GA333290,,Reserved,"Not Available"
GTW325ASWWW,ZA909443,,Available,
JEP5030STSS,LA077661,,Available,
JVM3160DFWW,SA207228,,Available,
GDF510PSRSS,LA850813,,Reserved,"Not Available"
PK7800SKSS,GA006657,,Available,
GTD58EBPVDG,TA723684,,Available,
GNE25JYKFS,SA316100,,Available,
PK7800SKSS,VA032985,,Available,
GDF670SYVFS,TA806883,,Available,
GTD48EASWWB,TA874939,,Available,
JVM3160RFSS,VA217911,,Available,
JVM7195SKSS,TZ208957,,Available,
GSS25IYNFS,TA426794,,Available,
PGE29BYTFS,TZ133931,,Available,
GSS25GGPWW,GA453495,,Reserved,"Not Available"
GRS500PVSS,VA037132,,Available,
GUD27GSSMWW,RA081750,,Available,
GTW538ASWWS,VA997762,,Available,
GTS22KYNRFS,VA759981,,Available,
GRS500PVSS,TA148671,,Available,
CXE22DP2PS1,HA508140,,Available,
PVD28BYNFS,TA527227,,Available,
PXD22BYPFS,TA507868,,Available,
GWE19JYLFS,VA316609,,Available,
CVM521P2MS1,SA300700,,Available,
PAE28BYTFS,MA147077,,Available,
PTD60EBSRWS,TA563139,,Reserved,"Not Available"
GTD58EBSVWS,VA720493,,Available,
PFW870SPVRS,VZ373465,,Available,
PJD23BYWFS,HA158834,,Available,
PSS93YPFS,MA070775,,Available,
GFA28KITN,,1,Available,
GUD24ESSMWW,RA085432,,Available,
PDT145SGLBB,RA707100,,Available,
JXGRATE1,,1,Available,
FUF17DLRWW,FA040999,,Available,
JGP5030SLSS,VA034533,,Available,
GDT550PYRFS,VA800339,,Available,
JVM7195SKSS,MA211687,,Available,
C2Y366P4TW2,VA907302,,Available,
PGE29BYTFS,SA129644,,Available,
